material_id;band_gap
mp-1538103;0
mp-1538185;0
mp-1538194;0
mp-1538260;0
mp-1538292;4.8272
mp-1538351;0
mp-1538397;1.4441
mp-1538566;0
mp-1538596;6.5095
mp-1538601;0
mp-1539959;3.6056
mp-1540102;1.2064
mp-1540109;3.6042
mp-1540190;1.0425
mp-1540818;1.2062
mp-1540927;0.765
mp-1541485;7.1322
mp-1541632;1.027
mp-1541720;7.1613
mp-1541907;0.7465
mp-1543389;5.2617
mp-1543407;5.2618
mp-1543730;6.043
mp-1544107;3.8596
mp-1544239;0.4521
mp-1546074;1.2433
mp-1546451;3.9652
mp-1546727;1.9165
mp-1546821;1.103
mp-15639;0
mp-15671;0
mp-15686;0.3178
mp-1583518;1.3805
mp-1583528;2.139
mp-1586185;2.1771
mp-1586297;0
mp-1586312;0
mp-1586761;4.6614
mp-1587192;0
mp-1587320;0
mp-1587511;0.3848
mp-1587569;7.1157
mp-1587664;0
mp-1587791;0
mp-1587830;0
mp-1587841;0
mp-1588222;0.6944
mp-1588250;0
mp-1588332;0
mp-1588421;1.1791
mp-1588436;0
mp-1588467;0
mp-1588535;1.4267
mp-15886;0.0115
mp-1588652;0
mp-1588690;0
mp-1589748;0
mp-1589843;0
mp-1590137;0
mp-1590342;0.5532
mp-1590383;0
mp-1590563;0
mp-1591057;0
mp-1591286;0
mp-1591344;0
mp-1591644;0
mp-1591833;1.9454
mp-1591856;0
mp-1591990;0
mp-1592000;0
mp-1592138;0
mp-1592201;0
mp-1592257;0
mp-1592306;0
mp-1592548;0
mp-1592681;0
mp-1592929;1.2571
mp-1592934;5.0892
mp-1593030;0
mp-1593146;0
mp-1593292;0
mp-1593485;0
mp-1593514;0
mp-1593517;0
mp-1593550;7.1157
mp-1593890;0
mp-1593897;5.6193
mp-1593983;0
mp-1593994;0
mp-1594194;0
mp-1594397;0
mp-1594775;0
mp-1595;2.3419
mp-1595115;1.6729
mp-1595146;0
mp-1595178;0
mp-1595200;0.4312
mp-1595485;4.2997
mp-1595559;0
mp-1595664;0
mp-1595692;0
mp-1595997;0
mp-1596260;0
mp-1596498;1.8452
mp-1596632;0
mp-1596668;1.8221
mp-1596991;0
mp-1597037;0.7013
mp-1597063;0
mp-1597180;4.2733
mp-1597279;0
mp-1597295;4.7985
mp-1597924;0.8036
mp-1598367;2.6223
mp-1598430;5.5392
mp-1598944;0
mp-1599172;0
mp-1599245;1.6148
mp-1599329;2.5231
mp-1599397;0
mp-1599746;0
mp-1599763;0.6675
mp-1599931;0
mp-1600787;0
mp-1600789;3.102
mp-1601011;0
mp-1601231;0
mp-1601468;0
mp-1601744;3.434
mp-1601930;3.5833
mp-1602237;0
mp-1602333;0
mp-1602400;7.4677
mp-1602496;0
mp-1602706;0.8994
mp-1603464;0.1882
mp-1603586;1.0259
mp-1604315;0
mp-1605083;0
mp-1605868;5.2829
mp-1606037;3.2733
mp-1607666;0
mp-1609282;0
mp-1609434;0
mp-1609620;0
mp-1609765;0
mp-1610120;0
mp-1610445;0.9578
mp-1610750;0
mp-1610772;0
mp-1610876;0
mp-1611047;3.2441
mp-1611533;5.1414
mp-1611785;0
mp-1612053;3.4417
mp-1612626;0
mp-1615632;0
mp-1616585;2.833
mp-1617211;0
mp-1617444;1.1169
mp-1619829;0.5247
mp-1620738;0
mp-1621931;0
mp-1623102;4.6966
mp-1623559;5.1576
mp-1624219;0
mp-1624491;0
mp-1624542;0
mp-1625463;2.1253
mp-1626319;0
mp-1626730;3.9886
mp-1627315;4.2685
mp-1627579;0
mp-1628025;0
mp-1628297;0
mp-1629253;3.7741
mp-1637561;3.6274
mp-1637964;3.2874
mp-1638303;6.2538
mp-1638420;0
mp-1654458;0.8948
mp-1660018;0
mp-1667949;0
mp-1667995;1.9839
mp-1668261;1.6191
mp-1668524;0
mp-1668873;0.1102
mp-1668878;0
mp-1670241;0
mp-1670325;5.2832
mp-1670465;0
mp-1671253;0
mp-1672060;0
mp-1672085;1.8849
mp-1672136;0.4714
mp-1672509;3.2733
mp-1672603;0
mp-1672945;0
mp-1673092;0
mp-1673844;0
